name,lat,lng,type,size,shape,Primary Market,Airing,Participant,PRX Dovetail hosts,Impact,audio,Podcast Portfolio,Total Donors,To PRX,To Radiotopia,To <i>Ear Hustle</i>,To <i>The World</i>,Other,Downloads in FY25
WPKT-FM:,41.7658043,-72.6733723,broadcast,xlarge,,"Hartford, CT",<i>Embodied | Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | To the Best of Our Knowledge</i>,,,,,,,,,,,,
WMNF-FM3:,28.274347,-82.3885783,broadcast,xlarge,,"Tampa-St. Petersburg-Clearwater, FL",<i>Embodied | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | Sound Opinions | The Moth Radio Hour | The World | This American Life | To the Best of Our Knowledge</i>,,,,,,,,,,,,
KVNC-FM:,39.6433243,-106.3780801,broadcast,xlarge,,"Vail, CO","<i>Left, Right & Center | Live Wire | Living On Earth | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think | This American Life</i>",,,,,,,,,,,,
KUNC-FM:,40.5852602,-105.084423,broadcast,xlarge,,"Ft. Collins-Greeley, CO","<i>Left, Right & Center | Live Wire | Living On Earth | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think | This American Life</i>",,,,,,,,,,,,
KRNC-FM:,40.4849769,-106.8317158,broadcast,xlarge,,"Steamboat Springs, CO","<i>Left, Right & Center | Live Wire | Living On Earth | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think | This American Life</i>",,,,,,,,,,,,
KENC-FM:,40.3772059,-105.5216651,broadcast,xlarge,,"Estes Park, CO","<i>Left, Right & Center | Live Wire | Living On Earth | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think | This American Life</i>",,,,,,,,,,,,
WSLU-FM:,44.5956163,-75.1690942,broadcast,xlarge,,"Canton, NY",<i>Afropop Worldwide | No Small Endeavor | Reveal | Selected Shorts | Snap Judgment | Sound Opinions | The Moth Radio Hour | The World | This American Life</i>,,,,,,,,,,,,
WMEW-FM:,44.5520105,-69.6317121,broadcast,xlarge,,"Waterville, ME",<i>Echoes | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | This American Life</i>,,,,,,,,,,,,
WMEP-FM:,44.2097928,-69.0647838,broadcast,xlarge,,"Camden, ME",<i>Echoes | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | This American Life</i>,,,,,,,,,,,,
WMEM-FM:,46.681153,-68.0158615,broadcast,xlarge,,"Presque Isle, ME",<i>Echoes | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | This American Life</i>,,,,,,,,,,,,
